iter	Passed	Remaining
0	0	95
1	1	63
2	1	49
3	1	42
4	2	48
5	2	44
6	3	41
7	3	38
8	3	35
9	3	33
10	3	31
11	4	29
12	4	28
13	4	27
14	4	26
15	4	25
16	5	25
17	5	24
18	5	24
19	5	23
20	6	23
21	6	22
22	6	22
23	6	21
24	7	21
25	7	20
26	7	20
27	7	20
28	8	19
29	8	19
30	8	18
31	8	18
32	8	17
33	9	17
34	9	17
35	9	16
36	9	16
37	9	15
38	9	15
39	10	15
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	11	13
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	13	8
61	14	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	5
73	16	5
74	16	5
75	16	5
76	16	5
77	17	4
78	17	4
79	17	4
80	17	4
81	18	3
82	18	3
83	18	3
84	18	3
85	18	3
86	19	2
87	19	2
88	19	2
89	19	2
90	19	1
91	20	1
92	20	1
93	20	1
94	20	1
95	20	0
96	21	0
97	21	0
98	21	0
99	21	0
