iter	Passed	Remaining
0	61	61015
1	61	30620
2	61	20466
3	61	15386
4	62	12338
5	62	10307
6	62	8855
7	62	7766
8	62	6919
9	63	6241
10	63	5686
11	63	5222
12	63	4832
13	63	4498
14	64	4206
15	64	3951
16	64	3728
17	64	3528
18	64	3349
19	65	3188
20	65	3042
21	65	2910
22	65	2790
23	65	2679
24	66	2577
25	66	2483
26	66	2396
27	66	2314
28	66	2239
29	67	2169
30	67	2102
31	67	2040
32	67	1982
33	67	1928
34	68	1876
35	68	1828
36	68	1782
37	68	1738
38	68	1696
39	69	1657
40	69	1619
41	69	1583
42	69	1549
43	69	1517
44	70	1486
45	70	1456
46	70	1430
47	70	1403
48	70	1377
49	71	1352
50	71	1328
51	71	1305
52	71	1282
53	71	1260
54	72	1239
55	72	1219
56	72	1200
57	72	1181
58	72	1163
59	73	1145
60	73	1128
61	73	1112
62	73	1096
63	73	1080
64	74	1065
65	74	1051
66	74	1037
67	74	1023
68	74	1010
69	75	997
70	75	984
71	75	972
72	75	960
73	75	949
74	76	937
75	76	926
76	76	916
77	76	905
78	76	896
79	77	886
80	77	876
81	77	867
82	77	856
83	77	847
84	77	839
85	78	830
86	78	822
87	78	813
88	78	805
89	78	797
90	79	790
91	79	782
92	79	775
93	79	768
94	79	761
95	80	754
96	80	747
97	80	741
98	80	734
99	80	728
100	81	722
101	81	715
102	81	709
103	81	704
104	81	698
105	82	694
106	82	688
107	82	683
108	82	677
109	83	672
110	83	667
111	83	662
112	83	657
113	83	652
114	84	647
115	84	642
116	84	637
117	84	632
118	84	628
119	85	623
120	85	619
121	85	614
122	85	610
123	85	606
124	85	601
125	86	597
126	86	593
127	86	589
128	86	585
129	86	581
130	87	577
131	87	574
132	87	570
133	87	566
134	87	562
135	88	559
136	88	555
137	88	553
138	88	550
139	89	547
140	89	543
141	89	539
142	89	536
143	89	533
144	89	530
145	90	527
146	90	524
147	90	521
148	90	518
149	91	515
150	91	513
151	91	510
152	91	507
153	91	504
154	92	501
155	92	499
156	92	496
157	92	493
158	92	491
159	93	488
160	93	485
161	93	482
162	93	480
163	93	478
164	93	475
165	94	473
166	94	470
167	94	468
168	94	465
169	94	463
170	95	461
171	95	459
172	95	456
173	95	454
174	95	452
175	96	450
176	96	448
177	96	446
178	96	444
179	97	441
180	97	439
181	97	437
182	97	435
183	97	433
184	98	431
185	98	429
186	98	427
187	98	425
188	98	424
189	99	422
190	99	420
191	99	418
192	99	416
193	99	414
194	100	413
195	100	411
196	100	409
197	100	407
198	100	406
199	101	404
200	101	402
201	101	400
202	101	399
203	101	397
204	102	395
205	102	394
206	102	392
207	102	390
208	102	389
209	103	387
210	103	386
211	103	384
212	103	383
213	103	381
214	104	379
215	104	378
216	104	376
217	104	375
218	104	373
219	105	372
220	105	370
221	105	369
222	105	367
223	105	366
224	105	364
225	106	363
226	106	362
227	106	360
228	106	359
229	106	357
230	107	356
231	107	355
232	107	353
233	107	352
234	107	351
235	108	349
236	108	348
237	108	347
238	108	346
239	108	344
240	109	343
241	109	342
242	109	341
243	109	339
244	109	338
245	110	337
246	110	336
247	110	335
248	110	333
249	110	332
250	111	331
251	111	330
252	111	329
253	111	328
254	111	326
255	112	325
256	112	324
257	112	323
258	112	322
259	112	321
260	113	320
261	113	319
262	113	318
263	113	317
264	113	316
265	114	315
266	114	314
267	114	312
268	114	311
269	115	310
270	115	309
271	115	308
272	115	307
273	115	306
274	116	305
275	116	304
276	116	303
277	116	302
278	116	302
279	117	301
280	117	300
281	117	299
282	117	298
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	118	292
289	119	291
290	119	290
291	119	289
292	119	288
293	119	288
294	120	287
295	120	286
296	120	285
297	120	284
298	120	283
299	121	282
300	121	281
301	121	281
302	121	280
303	121	279
304	122	278
305	122	277
306	122	276
307	122	275
308	122	274
309	123	274
310	123	273
311	123	272
312	123	271
313	124	270
314	124	270
315	124	269
316	124	268
317	124	267
318	125	266
319	125	266
320	125	265
321	125	264
322	125	263
323	126	262
324	126	262
325	126	261
326	126	260
327	126	259
328	127	259
329	127	258
330	127	257
331	127	256
332	127	256
333	128	255
334	128	254
335	128	253
336	128	253
337	128	252
338	129	251
339	129	251
340	129	250
341	129	249
342	129	248
343	130	248
344	130	247
345	130	246
346	130	246
347	131	245
348	131	244
349	131	243
350	131	243
351	131	242
352	131	241
353	132	241
354	132	240
355	132	239
356	132	239
357	133	238
358	133	237
359	133	237
360	133	236
361	133	235
362	133	235
363	134	234
364	134	233
365	134	233
366	134	232
367	134	231
368	135	231
369	135	230
370	135	229
371	135	229
372	135	228
373	136	227
374	136	227
375	136	226
376	136	225
377	136	225
378	137	224
379	137	223
380	137	223
381	137	222
382	137	222
383	138	221
384	138	220
385	138	220
386	138	219
387	138	219
388	139	218
389	139	217
390	139	217
391	139	216
392	139	216
393	140	215
394	140	214
395	140	214
396	140	213
397	140	213
398	141	212
399	141	212
400	141	211
401	141	210
402	141	210
403	142	209
404	142	209
405	142	208
406	142	208
407	142	207
408	143	206
409	143	206
410	143	205
411	143	205
412	144	204
413	144	204
414	144	203
415	144	203
416	144	202
417	145	201
418	145	201
419	145	200
420	145	200
421	145	199
422	145	199
423	146	198
424	146	198
425	146	197
426	146	197
427	147	196
428	147	195
429	147	195
430	147	194
431	147	194
432	148	193
433	148	193
434	148	192
435	148	192
436	148	191
437	149	191
438	149	190
439	149	190
440	149	189
441	149	189
442	150	188
443	150	188
444	150	187
445	150	187
446	150	186
447	151	186
448	151	185
449	151	185
450	151	184
451	151	184
452	152	183
453	152	183
454	152	182
455	152	182
456	152	181
457	153	181
458	153	180
459	153	180
460	153	179
461	153	179
462	154	178
463	154	178
464	154	177
465	154	177
466	154	176
467	155	176
468	155	175
